site,tide.height,replicate,Species,Abundance
A,low,1,mussels,10
A,low,2,mussels,9
A,low,3,mussels,11
A,low,4,mussels,7
A,low,5,mussels,12
A,high,1,mussels,6
A,high,2,mussels,3
A,high,3,mussels,2
A,high,4,mussels,5
A,high,5,mussels,7
B,low,1,mussels,9
B,low,2,mussels,15
B,low,3,mussels,16
B,low,4,mussels,12
B,low,5,mussels,12
B,high,1,mussels,1
B,high,2,mussels,2
B,high,3,mussels,5
B,high,4,mussels,4
B,high,5,mussels,3
C,low,1,mussels,20
C,low,2,mussels,18
C,low,3,mussels,15
C,low,4,mussels,10
C,low,5,mussels,9
C,high,1,mussels,10
C,high,2,mussels,15
C,high,3,mussels,16
C,high,4,mussels,12
C,high,5,mussels,14
A,low,1,snails,2
A,low,2,snails,2
A,low,3,snails,5
A,low,4,snails,3
A,low,5,snails,1
A,high,1,snails,1
A,high,2,snails,2
A,high,3,snails,4
A,high,4,snails,5
A,high,5,snails,3
B,low,1,snails,6
B,low,2,snails,10
B,low,3,snails,12
B,low,4,snails,10
B,low,5,snails,9
B,high,1,snails,2
B,high,2,snails,6
B,high,3,snails,5
B,high,4,snails,6
B,high,5,snails,1
C,low,1,snails,15
C,low,2,snails,12
C,low,3,snails,16
C,low,4,snails,9
C,low,5,snails,10
C,high,1,snails,5
C,high,2,snails,4
C,high,3,snails,6
C,high,4,snails,8
C,high,5,snails,1
A,low,1,barnacles,15
A,low,2,barnacles,4
A,low,3,barnacles,5
A,low,4,barnacles,0
A,low,5,barnacles,11
A,high,1,barnacles,55
A,high,2,barnacles,39
A,high,3,barnacles,13
A,high,4,barnacles,44
A,high,5,barnacles,35
B,low,1,barnacles,1
B,low,2,barnacles,10
B,low,3,barnacles,13
B,low,4,barnacles,26
B,low,5,barnacles,12
B,high,1,barnacles,55
B,high,2,barnacles,42
B,high,3,barnacles,32
B,high,4,barnacles,40
B,high,5,barnacles,34
C,low,1,barnacles,6
C,low,2,barnacles,10
C,low,3,barnacles,31
C,low,4,barnacles,11
C,low,5,barnacles,19
C,high,1,barnacles,34
C,high,2,barnacles,26
C,high,3,barnacles,35
C,high,4,barnacles,22
C,high,5,barnacles,37