YEAR,Region,fourspot_flounder,shortfin_squid,longfin_squid,silver_hake,butterfish,sea_scallop
1973,Georges Bank,1.586134068,2.558310376,48.72070707,19.5412764,4.686868687,80.34995409
1974,Georges Bank,0.835858586,1.610606061,54.17676768,96.82575758,4.699494949,1.792929293
1975,Georges Bank,2.70661157,8.023875115,61.37222222,55.72070707,5.847796143,13.72217631
1976,Georges Bank,1.832323232,37.59646465,80.28585859,37.9459596,12.28989899,7.797474747
1977,Georges Bank,1.929476584,15.89931129,21.63115726,18.76779232,31.01509017,31.73061497
1978,Georges Bank,1.403505838,46.7087072,22.12159911,37.17250426,54.57965368,9.804634002
1979,Georges Bank,2.646176046,25.69440837,37.57157287,23.79805195,12.61753247,11.58412698
1980,Georges Bank,1.623088023,12.59848485,58.37525253,43.34029582,134.5290043,45.04541847
1981,Georges Bank,1.597474747,5.261616162,50.11969697,47.17020202,26.51313131,31.59444444
1982,Georges Bank,3.552525253,9.519949495,36.68611111,68.24141414,11.05681818,4.395454545
1983,Georges Bank,2.611616162,0.682323232,48.68636364,20.36262626,77.77121212,1.131313131
1984,Georges Bank,2.077272727,3.891414141,60.52323232,39.41616162,8.842929293,6.022222222
1985,Georges Bank,3.993181818,1.728787879,142.034596,158.8310606,76.92449495,6.943181818
1986,Georges Bank,1.985858586,1.522222222,52.53787879,49.28232323,19.30858586,12.21414141
1987,Georges Bank,2.792929293,7.292424242,11.4030303,40.98181818,2.697474747,5.454040404
1988,Georges Bank,0.743686869,27.85277778,63.61111111,55.64141414,19.78358586,5.646464646
1989,Georges Bank,3.076767677,9.747979798,118.8631313,77.88636364,13.84949495,79.17272727
1990,Georges Bank,3.592171717,13.74280303,32.77790404,79.5125,72.70075758,31.70441919
1991,Georges Bank,2.586363636,9.277777778,80.01515152,54.28838384,38.73888889,3.32020202
1992,Georges Bank,2.133333333,8.945959596,107.9606061,63.21515152,53.16767677,13.93787879
1993,Georges Bank,5.038383838,26.06060606,90.57979798,23.44141414,23.19090909,20.68484848
1994,Georges Bank,4.031662782,11.1482129,172.5649573,41.81554002,40.44996115,2.822649573
1995,Georges Bank,4.779706152,8.493801653,37.84256198,28.42208448,46.16019284,3.770752984
1996,Georges Bank,3.402525253,9.264646465,4.15959596,19.71010101,11.82121212,12.93484848
1997,Georges Bank,2.907070707,4.302525253,18.03535354,34.50505051,49.83787879,10.63232323
1998,Georges Bank,4.181818182,5.422222222,31.72070707,39.12828283,145.8631313,8.032323232
1999,Georges Bank,6.228282828,1.167171717,250.6661616,49.78131313,82.61868687,134.8984848
2000,Georges Bank,3.537878788,4.015151515,108.2186869,80.19444444,11.77020202,10.60959596
2001,Georges Bank,5.690909091,2.131818182,153.8363636,63.62626263,84.16767677,177.640404
2002,Georges Bank,6.207575758,7.173737374,138.7176768,68.19090909,6.901010101,87.84191919
2003,Georges Bank,10.95197429,7.954683196,41.05505051,50.9594123,28.20252525,18.49178145
2004,Georges Bank,2.072727273,4.203030303,39.0989899,32.38333333,12.73939394,7.339393939
2005,Georges Bank,4.497474747,5.251515152,41.73181818,21.43787879,2.095454545,9.034343434
2006,Georges Bank,4.904545455,10.15959596,104.6035354,85.78636364,176.3464646,19.87272727
2007,Georges Bank,4.007070707,8.31010101,133.5661616,28.22373737,14.44292929,37.69949495
2008,Georges Bank,4.117171717,7.633838384,51.04393939,26.24141414,11.07575758,52.28282828
2009,Georges Bank,12.25779221,25.46298701,29.22012987,361.0074675,77.0737013,69.34188312
2010,Georges Bank,17.39242424,19.57954545,362.8356061,255.6333333,77.84848485,15.19772727
2011,Georges Bank,10.10583104,11.52552801,67.72167126,322.8802112,57.95082645,88.20160698
2012,Georges Bank,11.13095238,14.21287879,759.58171,297.0006494,139.650974,34.30422078
2013,Georges Bank,9.252295684,5.128787879,351.700282,495.9349665,47.39489046,71.70329923
2014,Georges Bank,17.48427128,14.53961039,146.8455988,253.1173882,60.3047619,251.999062
2015,Georges Bank,12.70519481,5.054401154,81.10793651,266.1943723,84.36457431,196.4681818
2016,Georges Bank,16.38354978,11.2474026,129.1994228,236.4624098,283.2448773,68.07987013
1973,S New England,4.861355311,1.128663004,446.242674,19.18168498,112.0981685,42.79349817
1974,S New England,2.797161172,4.371794872,248.740293,58.4970696,113.2452381,4.873626374
1975,S New England,4.293803419,43.07411477,331.4181319,35.88528694,90.92075702,71.30921856
1976,S New England,7.455128205,54.18525641,354.4416667,87.82820513,219.6128205,24.47948718
1977,S New England,6.297069597,21.13956044,226.0654457,64.82686203,91.30830281,19.23174603
1978,S New England,6.636468434,25.42569489,149.7554999,59.84269554,44.85780543,5.367717087
1979,S New England,11.52567016,37.08189311,301.321824,26.74555861,269.7487929,6.071620047
1980,S New England,11.64349817,24.15338828,356.4056777,27.54230769,449.4929487,23.07307692
1981,S New England,11.96886447,80.81868132,221.9695971,56.653663,174.8791209,8.386538462
1982,S New England,9.312728938,6.408974359,477.4186813,45.65347985,229.4702381,16.3956044
1983,S New England,17.66263736,6.422435897,566.185989,41.44624542,1285.298077,7.019322344
1984,S New England,16.15155678,23.95567766,302.7644689,18.04001832,362.4782967,2.766758242
1985,S New England,13.14148352,4.365384615,393.1318681,80.87271062,510.9478022,7.894230769
1986,S New England,11.49386447,7.268315018,595.289652,21.50869963,288.0578755,78.36639194
1987,S New England,15.54340659,40.6775641,62.67344322,10.37252747,147.6741758,12.30082418
1988,S New England,6.324175824,18.69065934,575.8021978,79.77197802,377.8585165,36.8793956
1989,S New England,13.00906593,35.17930403,486.8239011,13.95659341,1155.686813,28.26355311
1990,S New England,16.10824176,35.25906593,336.7222527,20.77005495,342.6370879,85.93571429
1991,S New England,6.722527473,6.755952381,203.9086081,73.04542125,54.45641026,23.92032967
1992,S New England,9.711996337,31.27564103,570.7981685,83.48690476,273.7592491,23.63608059
1993,S New England,5.799175824,18.05989011,279.5087912,11.70247253,523.4565934,5.200824176
1994,S New England,7.101373626,20.66208791,418.5216117,7.031959707,505.071337,8.987637363
1995,S New England,7.677564103,19.68543956,229.4173077,94.59468864,123.0661172,13.628663
1996,S New England,5.219322344,27.66794872,245.6,5.242490842,72.91098901,9.291025641
1997,S New England,9.190934066,29.75769231,691.153022,58.84917582,134.9747253,7.477747253
1998,S New England,7.721978022,92.27747253,219.9398352,24.47582418,114.7848901,10.59368132
1999,S New England,12.06593407,1.103021978,641.3618132,23.10576923,266.9225275,41.87994505
2000,S New England,8.664835165,29.92994505,683.2594322,31.80805861,280.8057692,108.2700549
2001,S New England,6.558516484,24.12225275,421.5315934,61.63296703,24.54615385,53.03873626
2002,S New England,15.95384615,22.39835165,797.0934066,23.83736264,35.95796703,37.275
2003,S New England,9.279120879,179.8296703,451.7722527,144.5700549,47.81208791,24.15604396
2004,S New England,6.803846154,18.21153846,1006.455495,39.57087912,61.21620879,12.28708791
2005,S New England,13.61950549,48.39230769,414.260989,13.89423077,18.24093407,21.17774725
2006,S New England,9.484015984,144.1258741,1349.216783,26.45854146,217.8556444,6.973026973
2007,S New England,8.221153846,12.14807692,1209.535165,14.42142857,10.69093407,12.83049451
2008,S New England,12.3467033,25.18818681,548.203022,18.13076923,65.25824176,59.03296703
2009,S New England,28.49123932,18.47564103,428.2036325,95.10106838,386.8179487,86.78995726
2010,S New England,30.14615385,40.15299145,372.9940171,207.3897436,199.1008547,249.1632479
2011,S New England,22.86712454,41.60470085,453.2012821,114.4393468,509.1396215,26.72448107
2012,S New England,39.61211844,31.89209402,1111.954884,130.0661172,88.98177656,68.33006716
2013,S New England,23.34807692,13.74065934,423.3880647,88.80876068,132.897619,147.2280525
2014,S New England,30.15970696,27.9492674,741.6393773,239.3858974,240.207326,1538.689103
2015,S New England,19.62857143,42.83791209,426.1695055,8.501190476,669.5785714,174.7546703
2016,S New England,19.69017094,31.8046398,549.88663,107.617094,321.6757631,114.1056166
1973,MidAtlantic Bight,6.391865079,1.673611111,281.2123016,6.036706349,159.9325397,123.0972222
1974,MidAtlantic Bight,2.423611111,8.875,300.05,16.07847222,226.3569444,13.93611111
1975,MidAtlantic Bight,2.846428571,3.817361111,699.7133929,21.50416667,24.54196429,61.43055556
1976,MidAtlantic Bight,2.147916667,25.20208333,472.3944444,12.08472222,118.8979167,16.84097222
1977,MidAtlantic Bight,1.48125,12.68541667,368.0263889,52.03819444,45.61041667,42.10347222
1978,MidAtlantic Bight,2.398015873,14.51210317,99.06269841,5.386507937,168.1880952,6.704960317
1979,MidAtlantic Bight,5.616269841,20.96349206,159.1325397,4.882936508,1225.25496,9.139880952
1980,MidAtlantic Bight,8.084920635,51.43888889,202.7174603,8.621626984,601.6732143,3.741269841
1981,MidAtlantic Bight,10.46507937,51.27876984,152.831746,7.485912698,756.4382937,21.59345238
1982,MidAtlantic Bight,11.23095238,6.618055556,221.6414683,32.61468254,24.87123016,4.975
1983,MidAtlantic Bight,4.462896825,8.896825397,359.0728175,8.690674603,394.4388889,7.0625
1984,MidAtlantic Bight,4.041071429,15.94960317,237.1386905,10.77996032,527.2805556,6.127777778
1985,MidAtlantic Bight,9.731746032,5.743055556,181.7543651,8.263690476,252.3170635,29.83492063
1986,MidAtlantic Bight,1.321230159,8.854166667,215.5876984,2.967063492,168.2555556,45.65575397
1987,MidAtlantic Bight,1.573015873,30.40694444,80.21051587,2.636904762,456.6986111,15.19107143
1988,MidAtlantic Bight,1.921626984,11.71746032,159.0849206,6.150793651,57.2625,37.57539683
1989,MidAtlantic Bight,2.542063492,12.75694444,241.7484127,5.739087302,489.0367063,40.7390873
1990,MidAtlantic Bight,3.389484127,82.49662698,314.8928571,2.204166667,1134.533333,26.76349206
1991,MidAtlantic Bight,2.331349206,55.7765873,280.5656746,1.812103175,243.3900794,9.382539683
1992,MidAtlantic Bight,2.659325397,18.55694444,802.8763889,4.306349206,390.9805556,12.91329365
1993,MidAtlantic Bight,2.220833333,18.37619048,64.54940476,3.105357143,125.0962302,57.2468254
1994,MidAtlantic Bight,3.893849206,6.4375,667.1021825,6.446428571,1743.928571,113.1845238
1995,MidAtlantic Bight,2.236904762,67.3968254,265.9904762,10.35277778,93.05694444,30.75496032
1996,MidAtlantic Bight,3.41468254,36.81349206,118.7619048,1.242857143,73.49642857,3.406746032
1997,MidAtlantic Bight,1.790277778,7.533730159,143.643254,0.604166667,41.67281746,6.983730159
1998,MidAtlantic Bight,4.916666667,4.083333333,328.6015873,1.790277778,1089.556548,98.74642857
1999,MidAtlantic Bight,17.44166667,3.951388889,473.4628968,5.105555556,41.78551587,23.05972222
2000,MidAtlantic Bight,3.863888889,11.74265873,552.2623016,0.646626984,114.8789683,109.3930556
2001,MidAtlantic Bight,3.1125,12.49325397,132.0650794,1.208333333,103.1367063,73.17083333
2002,MidAtlantic Bight,7.855357143,27.6797619,515.0678571,0.433531746,58.6672619,132.8607143
2003,MidAtlantic Bight,7.035714286,17.98075397,124.9174603,1.184722222,216.856746,110.6472222
2004,MidAtlantic Bight,4.590674603,10.30734127,273.3982143,3.516071429,68.23313492,56.31388889
2005,MidAtlantic Bight,6.278769841,71.08571429,146.6418651,3.739880952,49.35952381,41.88511905
2006,MidAtlantic Bight,7.004761905,42.04662698,559.0075397,8.314880952,92.79464286,93.08035714
2007,MidAtlantic Bight,3.954166667,146.3190476,226.4234127,1.124404762,40.63333333,21.3375
2008,MidAtlantic Bight,3.750793651,52.29305556,116.5015873,0.964087302,363.009127,53.15555556
2009,MidAtlantic Bight,20.77013889,84.37407407,220.969213,28.99212963,422.3662037,286.4761574
2010,MidAtlantic Bight,8.529861111,10.12037037,166.3907407,4.511342593,1027.102546,54.12893519
2011,MidAtlantic Bight,16.47777778,62.94206349,211.4134921,11.6734127,1132.703175,42.52936508
2012,MidAtlantic Bight,20.20634921,43.31785714,282.9460317,3.466666667,61.76666667,441.2742063
2013,MidAtlantic Bight,11.39642857,12.76309524,470.0075397,8.56547619,48.48095238,370.4730159
2014,MidAtlantic Bight,23.06428571,26.78253968,420.1019841,7.855952381,104.9376984,482.4996032
2015,MidAtlantic Bight,11.98253968,25.56865079,298.4281746,0.330555556,501.6511905,276.4400794
2016,MidAtlantic Bight,19.86507937,108.2329365,230.5103175,4.352380952,2.017460317,970.8396825
